Plante;Description;Note;Details;Answer
bleeding heart;bleeding heart est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le climat océanique humide de la Mayenne convient aux besoins en arrosage modéré et à l'humidité élevée que requiert le bleeding heart, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.;6 - Le climat océanique humide de la Mayenne convient aux besoins en arrosage modéré et à l'humidité élevée que requiert le bleeding heart, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.
boxwood;boxwood est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;Le boxwood peut être cultivé en extérieur dans la Mayenne grâce au climat océanique humide qui fournit une humidité élevée et des précipitations régulières, mais son besoin de lumière filtrée et sa faible tolérance à la sécheresse peuvent poser des défis.;[7] - Le boxwood peut être cultivé en extérieur dans la Mayenne grâce au climat océanique humide qui fournit une humidité élevée et des précipitations régulières, mais son besoin de lumière filtrée et sa faible tolérance à la sécheresse peuvent poser des défis.
cast-iron plant;cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La cast-iron plant est bien adaptée au climat océanique humide de la Mayenne, grâce à ses précipitations régulières et son humidité élevée, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa floraison.;[7] - La cast-iron plant est bien adaptée au climat océanique humide de la Mayenne, grâce à ses précipitations régulières et son humidité élevée, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa floraison.
chamaedorea;chamaedorea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La Chamaedorea tolère bien la sécheresse et s'adapte à divers niveaux de lumière, ce qui est compatible avec le climat océanique humide du Mayenne. Cependant, ses besoins en arrosage fréquents et son faible tolérance au sel limitent sa compatibilité.;[6] - La Chamaedorea tolère bien la sécheresse et s'adapte à divers niveaux de lumière, ce qui est compatible avec le climat océanique humide du Mayenne. Cependant, ses besoins en arrosage fréquents et son faible tolérance au sel limitent sa compatibilité.
Chinese evegreen;Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le Chinese evegreen s'adapte bien au climat océanique humide de la Mayenne, avec une humidité élevée et des précipitations régulières. Cependant, l'ensoleillement modéré et les zones fraîches peuvent nécessiter un emplacement protégé pour une croissance optimale.;7 - Le Chinese evegreen s'adapte bien au climat océanique humide de la Mayenne, avec une humidité élevée et des précipitations régulières. Cependant, l'ensoleillement modéré et les zones fraîches peuvent nécessiter un emplacement protégé pour une croissance optimale.
christplant;christplant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;4;Le climat océanique humide de la Mayenne n'est pas idéal pour une plante tropicale, bien que l'humidité soit favorable, l'ensoleillement modéré et les zones fraîches peuvent être défavorables.;[4] - Le climat océanique humide de la Mayenne n'est pas idéal pour une plante tropicale, bien que l'humidité soit favorable, l'ensoleillement modéré et les zones fraîches peuvent être défavorables.
chrysanthemum;chrysanthemum est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le chrysanthemum peut être cultivé en extérieur dans la Mayenne grâce au climat océanique humide et les précipitations régulières, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.;[7] - Le chrysanthemum peut être cultivé en extérieur dans la Mayenne grâce au climat océanique humide et les précipitations régulières, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.
climbing fig;climbing fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La climbing fig tolère bien la sécheresse et s'adapte à différents niveaux de lumière, ce qui convient au climat océanique humide de la Mayenne. Cependant, son besoin fréquentiel en arrosage et sa faible tolérance au sel peuvent poser des défis dans cette région.;[6] - La climbing fig tolère bien la sécheresse et s'adapte à différents niveaux de lumière, ce qui convient au climat océanique humide de la Mayenne. Cependant, son besoin fréquentiel en arrosage et sa faible tolérance au sel peuvent poser des défis dans cette région.
columnea;columnea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La columnea est adaptée au climat océanique humide du Mayenne, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa floraison optimale.;6 - La columnea est adaptée au climat océanique humide du Mayenne, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa floraison optimale.
croton;croton est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;La plante croton est adaptée au climat océanique humide de la Mayenne grâce à l'humidité élevée et les précipitations régulières, mais elle pourrait souffrir du faible ensoleillement modéré et des zones fraîches qui ne favorisent pas son exposition en plein soleil.;[5] - La plante croton est adaptée au climat océanique humide de la Mayenne grâce à l'humidité élevée et les précipitations régulières, mais elle pourrait souffrir du faible ensoleillement modéré et des zones fraîches qui ne favorisent pas son exposition en plein soleil.
"cryptanthus,""cryptanthus est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;6;La cryptanthus peut s'adapter au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle pourrait être sensible aux zones fraîches et ombragées.;[6] - La cryptanthus peut s'adapter au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle pourrait être sensible aux zones fraîches et ombragées.
cuphea;cuphea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante annuelle.;5;La cuphea peut être cultivée en extérieur dans la Mayenne grâce au climat océanique humide et modéré, mais elle préférera les zones ensoleillées et bien drainées, ce qui peut limiter sa performance dans les zones ombragées et fraîches.;[5] - La cuphea peut être cultivée en extérieur dans la Mayenne grâce au climat océanique humide et modéré, mais elle préférera les zones ensoleillées et bien drainées, ce qui peut limiter sa performance dans les zones ombragées et fraîches.
cyclamen;cyclamen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le cyclamen est adapté au climat océanique humide de la Mayenne grâce à une humidité élevée et des précipitations régulières, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance.;6 - Le cyclamen est adapté au climat océanique humide de la Mayenne grâce à une humidité élevée et des précipitations régulières, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance.
cymbalaria;cymbalaria est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;La cymbalaria peut s'adapter au climat océanique humide de la Mayenne grâce à ses besoins modérés en arrosage et sa tolérance à l'humidité, mais elle pourrait être affectée par les zones fraîches et ombragées.;6 - La cymbalaria peut s'adapter au climat océanique humide de la Mayenne grâce à ses besoins modérés en arrosage et sa tolérance à l'humidité, mais elle pourrait être affectée par les zones fraîches et ombragées.
delta maidenhair fern;delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.;6;La delta maidenhair fern peut s'adapter au climat océanique humide de la Mayenne, grâce à son tolérance à la sécheresse et ses besoins en arrosage modéré, mais l'humidité élevée et le faible ensoleillement peuvent poser des défis.;[6] - La delta maidenhair fern peut s'adapter au climat océanique humide de la Mayenne, grâce à son tolérance à la sécheresse et ses besoins en arrosage modéré, mais l'humidité élevée et le faible ensoleillement peuvent poser des défis.
"desert rose,""desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.""";;7;La désert rose tolère bien la sécheresse mais le climat océanique humide de la Mayenne, avec ses précipitations régulières et son humidité élevée, n'est pas idéal pour cette plante qui préfère un environnement sec et ensoleillé.;7 - La désert rose tolère bien la sécheresse mais le climat océanique humide de la Mayenne, avec ses précipitations régulières et son humidité élevée, n'est pas idéal pour cette plante qui préfère un environnement sec et ensoleillé.
dracaena;dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;Le Dracaena est compatible avec le climat océanique humide de la Mayenne grâce à son adaptation à des précipitations régulières et une humidité élevée, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance.;[6] - Le Dracaena est compatible avec le climat océanique humide de la Mayenne grâce à son adaptation à des précipitations régulières et une humidité élevée, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance.
dragontree;dragontree est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;7;Le dragontree peut s'adapter au climat océanique humide du département Mayenne grâce à sa tolérance à la sécheresse et son arrosage modéré, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.;7 - Le dragontree peut s'adapter au climat océanique humide du département Mayenne grâce à sa tolérance à la sécheresse et son arrosage modéré, mais l'ensoleillement modéré et les zones ombragées peuvent limiter sa floraison.
dumb cane;dumb cane est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse modérément. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;4;La dumb cane est mal adaptée au climat océanique humide de la Mayenne en raison de son intolérance à la sécheresse et sa préférence pour une lumière filtrée, bien que l'humidité élevée soit favorable.;[4] - La dumb cane est mal adaptée au climat océanique humide de la Mayenne en raison de son intolérance à la sécheresse et sa préférence pour une lumière filtrée, bien que l'humidité élevée soit favorable.
elephant's ear;elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;L'elephant's ear est modérément adaptée au climat océanique humide de la Mayenne, grâce aux précipitations régulières et l'humidité élevée, mais sa sensibilité à la sécheresse et faible tolérance au sel limitent son compatibilité.;[5] - L'elephant's ear est modérément adaptée au climat océanique humide de la Mayenne, grâce aux précipitations régulières et l'humidité élevée, mais sa sensibilité à la sécheresse et faible tolérance au sel limitent son compatibilité.
fiddle-leaf fig;fiddle-leaf fig est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;4;La fiddle-leaf fig est tropicale et ne tolère pas bien la sécheresse, ce qui la rend incompatible avec le climat océanique humide de la Mayenne.;4 - La fiddle-leaf fig est tropicale et ne tolère pas bien la sécheresse, ce qui la rend incompatible avec le climat océanique humide de la Mayenne.
fig;fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le climat océanique humide de la Mayenne est favorable pour l'humidité et les précipitations modérées, mais l'ensoleillement limité et les zones fraîches peuvent être défavorables pour une plante qui préfère le plein soleil.;[6] - Le climat océanique humide de la Mayenne est favorable pour l'humidité et les précipitations modérées, mais l'ensoleillement limité et les zones fraîches peuvent être défavorables pour une plante qui préfère le plein soleil.
firecracker flower;firecracker flower est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;La firecracker flower s'adapte bien au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle peut être sensible aux zones fraîches et ombragées.;7 - La firecracker flower s'adapte bien au climat océanique humide de la Mayenne grâce à ses précipitations régulières et son humidité élevée, mais elle peut être sensible aux zones fraîches et ombragées.
"flame violet,""flame violet est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante herbacée vivace.""";;6;Le climat océanique humide de la Mayenne offre une humidité élevée compatible avec les besoins du flame violet, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance, bien que la tolérance à la sécheresse soit un atout.;6 - Le climat océanique humide de la Mayenne offre une humidité élevée compatible avec les besoins du flame violet, mais l'ensoleillement modéré et les zones fraîches peuvent limiter sa croissance, bien que la tolérance à la sécheresse soit un atout.
flowering-maple;flowering-maple est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;6;Le flowering-maple peut être cultivé dans le Mayenne, mais son besoin d'ensoleillement important est peu compatible avec l'ensoleillement modéré et les nombreuses zones ombragées de la région.;6 - Le flowering-maple peut être cultivé dans le Mayenne, mais son besoin d'ensoleillement important est peu compatible avec l'ensoleillement modéré et les nombreuses zones ombragées de la région.
fragrant dracaena;fragrant dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;5;Le fragrant dracaena est modérément adapté au climat océanique humide de la Mayenne, avec des précipitations régulières et une humidité élevée favorables à sa croissance, mais l'ensoleillement modéré et les zones fraîches peuvent limiter son développement.;[5] - Le fragrant dracaena est modérément adapté au climat océanique humide de la Mayenne, avec des précipitations régulières et une humidité élevée favorables à sa croissance, mais l'ensoleillement modéré et les zones fraîches peuvent limiter son développement.
