Plante;Description;Note;Details;Answer
bleeding heart;bleeding heart est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Ce climat océanique à tendance continentale du Maine-et-Loire est modéré, mais la bleeding heart préfère des conditions plus stables et un ensoleillement plus important. De plus, elle ne tolère pas bien la sécheresse, ce qui peut poser problème en cas de périodes sèches.;[6] - Ce climat océanique à tendance continentale du Maine-et-Loire est modéré, mais la bleeding heart préfère des conditions plus stables et un ensoleillement plus important. De plus, elle ne tolère pas bien la sécheresse, ce qui peut poser problème en cas de périodes sèches.
boxwood;boxwood est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Le boxwood peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique et l'humidité modérée, mais il sera sensible aux fraisirs localisés et ne tolère pas bien la sécheresse.;[5] - Le boxwood peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique et l'humidité modérée, mais il sera sensible aux fraisirs localisés et ne tolère pas bien la sécheresse.
cast-iron plant;cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;La cast-iron plant peut être cultivée en extérieur dans le Maine-et-Loire, grâce au climat océanique et modéré de la région. Cependant, l'humidité et la fraîcheur localisée nécessitent une vigilance pour éviter les excès d'humidité et le froid.;[6] - La cast-iron plant peut être cultivée en extérieur dans le Maine-et-Loire, grâce au climat océanique et modéré de la région. Cependant, l'humidité et la fraîcheur localisée nécessitent une vigilance pour éviter les excès d'humidité et le froid.
chamaedorea;chamaedorea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La Chamaedorea peut s'adapter au climat océanique et continental du Maine-et-Loire, mais l'humidité modérée et les précipitations suffisantes conviennent à ses besoins en arrosage fréquent. Cependant, la fraîcheur localisée et l'ensoleillement modéré pourraient nécessiter une protection supplémentaire.;[6] - La Chamaedorea peut s'adapter au climat océanique et continental du Maine-et-Loire, mais l'humidité modérée et les précipitations suffisantes conviennent à ses besoins en arrosage fréquent. Cependant, la fraîcheur localisée et l'ensoleillement modéré pourraient nécessiter une protection supplémentaire.
Chinese evegreen;Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;Le Chinese evergreen peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais la fraîcheur localisée et l'ensoleillement modéré peuvent nécessiter des précautions.;6 - Le Chinese evergreen peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais la fraîcheur localisée et l'ensoleillement modéré peuvent nécessiter des précautions.
christplant;christplant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;La christplant est adaptée au Maine-et-Loire grâce à son climat océanique et modéré, mais l'ensoleillement modéré et la fraîcheur des forêts peuvent nécessiter un soin particulier.;[5] - La christplant est adaptée au Maine-et-Loire grâce à son climat océanique et modéré, mais l'ensoleillement modéré et la fraîcheur des forêts peuvent nécessiter un soin particulier.
chrysanthemum;chrysanthemum est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;Le chrysanthemum s'adapte modérément au Maine-et-Loire grâce à son climat océanique à tendance continentale et son humidité modérée, mais sa sensibilité à la sécheresse peut poser des problèmes lors de périodes sèches.;6 - Le chrysanthemum s'adapte modérément au Maine-et-Loire grâce à son climat océanique à tendance continentale et son humidité modérée, mais sa sensibilité à la sécheresse peut poser des problèmes lors de périodes sèches.
climbing fig;climbing fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;7;La climbing fig peut s'adapter au climat océanique et continental du Maine-et-Loire grâce à son tolerance à la sécheresse et ses besoins modérés en humidité, mais l'ensoleillement modéré et les fraîcheurs locales nécessitent une attention supplémentaire.;7 - La climbing fig peut s'adapter au climat océanique et continental du Maine-et-Loire grâce à son tolerance à la sécheresse et ses besoins modérés en humidité, mais l'ensoleillement modéré et les fraîcheurs locales nécessitent une attention supplémentaire.
columnea;columnea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La columnea préfère un ensoleillement élevé et tolère la sécheresse, ce qui est compatible avec le climat océanique et continental du Maine-et-Loire, mais l'humidité modérée et les fraîcheurs locales peuvent poser des défis.;6 - La columnea préfère un ensoleillement élevé et tolère la sécheresse, ce qui est compatible avec le climat océanique et continental du Maine-et-Loire, mais l'humidité modérée et les fraîcheurs locales peuvent poser des défis.
croton;croton est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Le croton peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique et l'humidité modérée, mais il pourrait souffrir de la fraîreur des forêts et de l'ensoleillement modéré.;[5] - Le croton peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique et l'humidité modérée, mais il pourrait souffrir de la fraîreur des forêts et de l'ensoleillement modéré.
"cryptanthus,""cryptanthus est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;6;La cryptanthus peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais sa sensibilité à la sécheresse et ses besoins en arrosage modéré nécessitent des précautions.;[6] - La cryptanthus peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais sa sensibilité à la sécheresse et ses besoins en arrosage modéré nécessitent des précautions.
cuphea;cuphea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante annuelle.;8;Le cuphea peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique à tendance continentale qui offre une humidité modérée favorable et un ensoleillement modéré compatible avec ses besoins. Cependant, la fraîcheur localisée dans certaines zones pourrait nécessiter une attention particulière.;8 - Le cuphea peut être cultivé en extérieur dans le Maine-et-Loire grâce au climat océanique à tendance continentale qui offre une humidité modérée favorable et un ensoleillement modéré compatible avec ses besoins. Cependant, la fraîcheur localisée dans certaines zones pourrait nécessiter une attention particulière.
cyclamen;cyclamen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Ce climat océanique est favorable pour le cyclamen grâce à son humidité modérée et ses précipitations suffisantes, mais l'ensoleillement modéré et la fraîcheur localisée peuvent limiter sa floraison.;[5] - Ce climat océanique est favorable pour le cyclamen grâce à son humidité modérée et ses précipitations suffisantes, mais l'ensoleillement modéré et la fraîcheur localisée peuvent limiter sa floraison.
cymbalaria;cymbalaria est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Cette plante est adaptée au climat océanique et modéré du Maine-et-Loire, mais sa sensibilité à la sécheresse pourrait poser des problèmes durant les périodes estivales.;[6] - Cette plante est adaptée au climat océanique et modéré du Maine-et-Loire, mais sa sensibilité à la sécheresse pourrait poser des problèmes durant les périodes estivales.
delta maidenhair fern;delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.;6;La delta maidenhair fern peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, avec son ensoleillement modéré et ses précipitations convenables, mais elle pourrait être sensible aux fraîcheurs locales des forêts.;6 - La delta maidenhair fern peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, avec son ensoleillement modéré et ses précipitations convenables, mais elle pourrait être sensible aux fraîcheurs locales des forêts.
"desert rose,""desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.""";;5;"""La désert rose tolère la sécheresse et préfère le plein soleil, ce qui est compatible avec le climat océanique du Maine-et-Loire, mais l'humidité modérée et la fraîcheur localisée peuvent poser des défis.""";"[5] - ""La désert rose tolère la sécheresse et préfère le plein soleil, ce qui est compatible avec le climat océanique du Maine-et-Loire, mais l'humidité modérée et la fraîcheur localisée peuvent poser des défis."""
dracaena;dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;La dracaena peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire grâce à son tolerance à la sécheresse, mais les hivers frais et l'humidité modérée peuvent poser des défis.;[6] - La dracaena peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire grâce à son tolerance à la sécheresse, mais les hivers frais et l'humidité modérée peuvent poser des défis.
dragontree;dragontree est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;8;Le dragontree s'adapte bien au Maine-et-Loire grâce à son climat océanique et modéré, mais il pourrait nécessiter une protection contre les froids hivernaux.;8 - Le dragontree s'adapte bien au Maine-et-Loire grâce à son climat océanique et modéré, mais il pourrait nécessiter une protection contre les froids hivernaux.
dumb cane;dumb cane est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse modérément. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;5;La dumb cane est mal adaptée au Maine-et-Loire en raison du climat océanique à tendance continentale, qui est trop frais et humide pour une plante tropicale qui ne tolère pas bien la sécheresse.;5 - La dumb cane est mal adaptée au Maine-et-Loire en raison du climat océanique à tendance continentale, qui est trop frais et humide pour une plante tropicale qui ne tolère pas bien la sécheresse.
elephant's ear;elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le climat océanique à tendance continentale du Maine-et-Loire est compatible avec l'elephant's ear, mais la fraîcheur localisée et les précipitations modérées peuvent nécessiter une protection accrue contre le froid et un arrosage régulier.;6 - Le climat océanique à tendance continentale du Maine-et-Loire est compatible avec l'elephant's ear, mais la fraîcheur localisée et les précipitations modérées peuvent nécessiter une protection accrue contre le froid et un arrosage régulier.
fiddle-leaf fig;fiddle-leaf fig est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;Le fiddle-leaf fig est mal adapté au climat océanique et continental du Maine-et-Loire en raison de sa sensibilité à la fraîcheur et aux conditions peu favorables à une plante tropicale.;6 - Le fiddle-leaf fig est mal adapté au climat océanique et continental du Maine-et-Loire en raison de sa sensibilité à la fraîcheur et aux conditions peu favorables à une plante tropicale.
fig;fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La fig est adaptable au climat océanique et continental du Maine-et-Loire, mais elle peut souffrir des précipitations modérées et de la fraîcheur localisée dans les forêts.;[6] - La fig est adaptable au climat océanique et continental du Maine-et-Loire, mais elle peut souffrir des précipitations modérées et de la fraîcheur localisée dans les forêts.
firecracker flower;firecracker flower est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La firecracker flower peut s'adapter au climat océanique et continental du Maine-et-Loire grâce à son tolerance modérée aux conditions humidifiées et frais, mais elle pourrait souffrir de la fraîcheur localisée dans les forêts.;[6] - La firecracker flower peut s'adapter au climat océanique et continental du Maine-et-Loire grâce à son tolerance modérée aux conditions humidifiées et frais, mais elle pourrait souffrir de la fraîcheur localisée dans les forêts.
"flame violet,""flame violet est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante herbacée vivace.""";;6;La flame violet peut s'adapter à l'humidité et aux précipitations modérées du Maine-et-Loire, mais les températures plus fraîches et l'ensoleillement modéré ne sont pas idéaux pour une plante tropicale.;[6] - La flame violet peut s'adapter à l'humidité et aux précipitations modérées du Maine-et-Loire, mais les températures plus fraîches et l'ensoleillement modéré ne sont pas idéaux pour une plante tropicale.
flowering-maple;flowering-maple est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;6;Le flowering-maple peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais la fraîcheur localisée et l'humidité modérée peuvent nécessiter des précautions.;[6] - Le flowering-maple peut s'adapter au climat océanique à tendance continentale du Maine-et-Loire, mais la fraîcheur localisée et l'humidité modérée peuvent nécessiter des précautions.
