Plante;Description;Note;Details;Answer
bleeding heart;bleeding heart est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La bleeding heart peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son intolerance à la sécheresse et au sel limite sa culture en extérieur dans cette région.;6 - La bleeding heart peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son intolerance à la sécheresse et au sel limite sa culture en extérieur dans cette région.
boxwood;boxwood est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;La boxwood peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son humidité élevée et ses précipitations fréquentes, mais sa sensibilité à la sécheresse et au sel limite sa compatibilité.;7 - La boxwood peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son humidité élevée et ses précipitations fréquentes, mais sa sensibilité à la sécheresse et au sel limite sa compatibilité.
cast-iron plant;cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La cast-iron plant peut s'adapter au climat océanique doux de la Loire-Atlantique, mais sa faible tolérance au sel pourrait être un défi près du littoral.;[7] - La cast-iron plant peut s'adapter au climat océanique doux de la Loire-Atlantique, mais sa faible tolérance au sel pourrait être un défi près du littoral.
chamaedorea;chamaedorea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;7;La chamaedorea peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son faible tolérance au sel et ses besoins en arrosage fréquent nécessitent des précautions près du littoral.;7 - La chamaedorea peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son faible tolérance au sel et ses besoins en arrosage fréquent nécessitent des précautions près du littoral.
Chinese evegreen;Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le Chinese evegreen peut s'adapter au climat océanique doux de la Loire-Atlantique, mais l'humidité élevée et la salinité côtière peuvent poser des défis pour sa culture en extérieur.;[7] - Le Chinese evegreen peut s'adapter au climat océanique doux de la Loire-Atlantique, mais l'humidité élevée et la salinité côtière peuvent poser des défis pour sa culture en extérieur.
christplant;christplant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Cette plante est adaptable grâce au climat océanique doux de la Loire-Atlantique et son ensoleillement correct, mais elle pourrait souffrir de l'humidité élevée et des précipitations fréquentes.;[6] - Cette plante est adaptable grâce au climat océanique doux de la Loire-Atlantique et son ensoleillement correct, mais elle pourrait souffrir de l'humidité élevée et des précipitations fréquentes.
chrysanthemum;chrysanthemum est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le climat océanique doux de la Loire-Atlantique est favorable pour les chrysanthèmes, mais l'humidité élevée et la salinité du littoral rendent la culture un peu délicate.;7 - Le climat océanique doux de la Loire-Atlantique est favorable pour les chrysanthèmes, mais l'humidité élevée et la salinité du littoral rendent la culture un peu délicate.
climbing fig;climbing fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;7;Le climat océanique doux et l'humidité élevée de la Loire-Atlantique conviennent à la climbing fig, mais la salinité marquée sur le littoral est un facteur défavorable.;[7] - Le climat océanique doux et l'humidité élevée de la Loire-Atlantique conviennent à la climbing fig, mais la salinité marquée sur le littoral est un facteur défavorable.
columnea;columnea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La columnea peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son besoin d'un ensoleillement modéré et sa tolérance à la salinité limitée peuvent poser des défis dans certaines zones du littoral.;[6] - La columnea peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son besoin d'un ensoleillement modéré et sa tolérance à la salinité limitée peuvent poser des défis dans certaines zones du littoral.
croton;croton est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le croton peut être cultivé en extérieur dans la Loire-Atlantique grâce au climat océanique doux et l'humidité élevée, mais sa sensibilité à la sécheresse limite son adaptation.;[6] - Le croton peut être cultivé en extérieur dans la Loire-Atlantique grâce au climat océanique doux et l'humidité élevée, mais sa sensibilité à la sécheresse limite son adaptation.
"cryptanthus,""cryptanthus est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;7;Le climat océanique doux et l'humidité élevée de la Loire-Atlantique sont favorables au cryptanthus, mais la salinité marquée sur le littoral peut poser problème.;7 - Le climat océanique doux et l'humidité élevée de la Loire-Atlantique sont favorables au cryptanthus, mais la salinité marquée sur le littoral peut poser problème.
cuphea;cuphea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante annuelle.;6;La cuphea peut être cultivée en extérieur dans la Loire-Atlantique grâce au climat océanique doux et l'ensoleillement correct, mais son besoin en arrosage fréquent et sa faible tolérance au sel limitent sa compatibilité avec le littoral salin.;[6] - La cuphea peut être cultivée en extérieur dans la Loire-Atlantique grâce au climat océanique doux et l'ensoleillement correct, mais son besoin en arrosage fréquent et sa faible tolérance au sel limitent sa compatibilité avec le littoral salin.
cyclamen;cyclamen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le cyclamen peut être cultivé dans la Loire-Atlantique, mais attention à l'humidité et au sol. Le climat océanique est favorable, mais la salinité du littoral et les précipitations fréquentes nécessitent une protection contre le sel.;[6] - Le cyclamen peut être cultivé dans la Loire-Atlantique, mais attention à l'humidité et au sol. Le climat océanique est favorable, mais la salinité du littoral et les précipitations fréquentes nécessitent une protection contre le sel.
cymbalaria;cymbalaria est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;7;Le cymbalaria s'adapte bien au climat océanique doux de la Loire-Atlantique, avec son humidité moyenne à élevée et ses précipitations fréquentes, mais sa sensibilité à la sécheresse peut être un problème dans des conditions plus arides.;7 - Le cymbalaria s'adapte bien au climat océanique doux de la Loire-Atlantique, avec son humidité moyenne à élevée et ses précipitations fréquentes, mais sa sensibilité à la sécheresse peut être un problème dans des conditions plus arides.
delta maidenhair fern;delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.;7;La delta maidenhair fern peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son bon niveau d'humidité et son ensoleillement correct, mais sa tolérance faible au sel et ses exigences élevées peuvent poser des problèmes près du littoral.;[7] - La delta maidenhair fern peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son bon niveau d'humidité et son ensoleillement correct, mais sa tolérance faible au sel et ses exigences élevées peuvent poser des problèmes près du littoral.
"desert rose,""desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.""";;7;"""Le climat océanique doux de la Loire-Atlantique est favorable pour la Desert Rose, mais l'humidité élevée et les précipitations fréquentes nécessitent une attention particulière à l'arrosage et au drainage.""";"[7] - ""Le climat océanique doux de la Loire-Atlantique est favorable pour la Desert Rose, mais l'humidité élevée et les précipitations fréquentes nécessitent une attention particulière à l'arrosage et au drainage."""
dracaena;dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;Le dracaena peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son tolérance à l'humidité et sa capacité à supporter des niveaux modérés de lumière, mais il pourrait être vulnérable aux conditions salines du littoral.;[7] - Le dracaena peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son tolérance à l'humidité et sa capacité à supporter des niveaux modérés de lumière, mais il pourrait être vulnérable aux conditions salines du littoral.
dragontree;dragontree est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;7;Le dragontree peut s'adapter au climat océanique doux de la Loire-Atlantique, mais l'humidité élevée et les précipitations fréquentes peuvent nécessiter une gestion attentive de l'arrosage.;7 - Le dragontree peut s'adapter au climat océanique doux de la Loire-Atlantique, mais l'humidité élevée et les précipitations fréquentes peuvent nécessiter une gestion attentive de l'arrosage.
dumb cane;dumb cane est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse modérément. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;6;Le dumb cane peut être cultivé en extérieur dans la Loire-Atlantique grâce au climat océanique et l'humidité élevée, mais il pourrait souffrir de la salinité marquée sur le littoral et la fraîcheur des zones ombragées.;[6] - Le dumb cane peut être cultivé en extérieur dans la Loire-Atlantique grâce au climat océanique et l'humidité élevée, mais il pourrait souffrir de la salinité marquée sur le littoral et la fraîcheur des zones ombragées.
elephant's ear;elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;L'elephant's ear est modérément adaptée au Loire-Atlantique en raison de son climat océanique doux et humide, mais elle est sensible à la salinité maritime et nécessite un arrosage régulier qu'elle ne peut trouver dans les zones ombragées.;[5] - L'elephant's ear est modérément adaptée au Loire-Atlantique en raison de son climat océanique doux et humide, mais elle est sensible à la salinité maritime et nécessite un arrosage régulier qu'elle ne peut trouver dans les zones ombragées.
fiddle-leaf fig;fiddle-leaf fig est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;Le climat océanique doux et l'humidité élevée de la Loire-Atlantique conviennent à la fiddle-leaf fig, mais la salinité marquée sur le littoral et les zones ombragées peuvent poser des problèmes.;6 - Le climat océanique doux et l'humidité élevée de la Loire-Atlantique conviennent à la fiddle-leaf fig, mais la salinité marquée sur le littoral et les zones ombragées peuvent poser des problèmes.
fig;fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;Le climat océanique doux de la Loire-Atlantique est favorable pour le figuier, mais l'humidité élevée et la salinité marquée peuvent poser des problèmes.;7 - Le climat océanique doux de la Loire-Atlantique est favorable pour le figuier, mais l'humidité élevée et la salinité marquée peuvent poser des problèmes.
firecracker flower;firecracker flower est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;Le climat océanique doux de la Loire-Atlantique est favorable pour la firecracker flower, mais l'humidité élevée et la salinité marquée sur le littoral peuvent nécessiter une attention particulière.;7 - Le climat océanique doux de la Loire-Atlantique est favorable pour la firecracker flower, mais l'humidité élevée et la salinité marquée sur le littoral peuvent nécessiter une attention particulière.
"flame violet,""flame violet est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante herbacée vivace.""";;6;Le climat océanique doux de la Loire-Atlantique est favorable pour la flame violet, mais l'humidité élevée et la salinité marquée peuvent poser des défis.;6 - Le climat océanique doux de la Loire-Atlantique est favorable pour la flame violet, mais l'humidité élevée et la salinité marquée peuvent poser des défis.
flowering-maple;flowering-maple est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;7;Ce flowering-maple s'adaptera bien au climat océanique doux de la Loire-Atlantique, grâce à son ensoleillement correct et son humidité élevée, mais attention à sa tolérance faible au sel sur le littoral.;[7] - Ce flowering-maple s'adaptera bien au climat océanique doux de la Loire-Atlantique, grâce à son ensoleillement correct et son humidité élevée, mais attention à sa tolérance faible au sel sur le littoral.
fragrant dracaena;fragrant dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La fragrant dracaena peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son intolerance au sel et ses besoins en humidité élevée limitent sa compatibilité avec les conditions locales.;[6] - La fragrant dracaena peut s'adapter au climat océanique doux de la Loire-Atlantique, mais son intolerance au sel et ses besoins en humidité élevée limitent sa compatibilité avec les conditions locales.
"giant elephant's ear,""giant elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;6;La giant elephant's ear peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son tolerance à la sécheresse et ses besoins modérés en arrosage, mais elle sera sensible à la salinité marquée sur le littoral.;[6] - La giant elephant's ear peut s'adapter au climat océanique doux de la Loire-Atlantique grâce à son tolerance à la sécheresse et ses besoins modérés en arrosage, mais elle sera sensible à la salinité marquée sur le littoral.
