Plante;Description;Note;Details;Answer
bleeding heart;bleeding heart est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;8;La bleeding heart peut s'adapter au climat océanique doux du Morbihan grâce à une humidité bien présente et des précipitations régulières, mais sa faible tolérance au sel et son besoin d'arrosage modéré peuvent poser problème en zone côtière.;8 - La bleeding heart peut s'adapter au climat océanique doux du Morbihan grâce à une humidité bien présente et des précipitations régulières, mais sa faible tolérance au sel et son besoin d'arrosage modéré peuvent poser problème en zone côtière.
boxwood;boxwood est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;8;Le boxwood peut prospérer dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais sa faible tolérance au sel limite son adaptation aux zones côtières.;8 - Le boxwood peut prospérer dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais sa faible tolérance au sel limite son adaptation aux zones côtières.
cast-iron plant;cast-iron plant est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;6;La cast-iron plant peut s'adapter au climat océanique du Morbihan grâce à son tolerance à la sécheté et ses besoins en arrosage modéré, mais elle est peu tolérante au sel des zones côtières.;[6] - La cast-iron plant peut s'adapter au climat océanique du Morbihan grâce à son tolerance à la sécheté et ses besoins en arrosage modéré, mais elle est peu tolérante au sel des zones côtières.
chamaedorea;chamaedorea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;7;Le climat océanique doux et l'humidité bien présente du Morbihan sont favorables pour la chamaedorea, mais la forte salinité en zone côtière et les besoins fréquents en arrosage nécessitent une attention particulière.;[7] - Le climat océanique doux et l'humidité bien présente du Morbihan sont favorables pour la chamaedorea, mais la forte salinité en zone côtière et les besoins fréquents en arrosage nécessitent une attention particulière.
Chinese evegreen;Chinese evegreen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La Chinese evegreen s'adapte bien au climat océanique doux du Morbihan grâce à son tolérance à la sécheresse et sa capacité à survivre dans des environnements légèrement salins, mais l'humidité élevée et l'ensoleillement modéré peuvent nécessiter un arrosage régulier.;[7] - La Chinese evegreen s'adapte bien au climat océanique doux du Morbihan grâce à son tolérance à la sécheresse et sa capacité à survivre dans des environnements légèrement salins, mais l'humidité élevée et l'ensoleillement modéré peuvent nécessiter un arrosage régulier.
christplant;christplant est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;Le christplant est modérément adapté au Morbihan en raison du climat océanique doux et de l'humidité bien présente, mais la salinité côtière et l'ensoleillement modéré peuvent poser des défis.;[5] - Le christplant est modérément adapté au Morbihan en raison du climat océanique doux et de l'humidité bien présente, mais la salinité côtière et l'ensoleillement modéré peuvent poser des défis.
chrysanthemum;chrysanthemum est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;8;Le chrysanthemum est bien adapté au climat océanique doux du Morbihan avec une humidité bien présente et des précipitations régulières, mais sa faible tolérance au sel limite sa culture près des zones côtières.;8 - Le chrysanthemum est bien adapté au climat océanique doux du Morbihan avec une humidité bien présente et des précipitations régulières, mais sa faible tolérance au sel limite sa culture près des zones côtières.
climbing fig;climbing fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;7;Le climat océanique doux du Morbihan convient à la climbing fig, mais l'humidité élevée et la forte salinité côtière peuvent poser des problèmes.;[7] - Le climat océanique doux du Morbihan convient à la climbing fig, mais l'humidité élevée et la forte salinité côtière peuvent poser des problèmes.
columnea;columnea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;5;La columnea est adaptée au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse et à l'humidité présente, mais elle pourrait souffrir des hivers plus froids et de l'ensoleillement modéré.;[5] - La columnea est adaptée au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse et à l'humidité présente, mais elle pourrait souffrir des hivers plus froids et de l'ensoleillement modéré.
croton;croton est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La croton peut être cultivée en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais elle peut souffrir de l'ensoleillement modéré et la salinité côtière.;6 - La croton peut être cultivée en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais elle peut souffrir de l'ensoleillement modéré et la salinité côtière.
"cryptanthus,""cryptanthus est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;7;Le climat océanique doux et l'humidité bien présente du Morbihan conviennent au cryptanthus, mais l'ensoleillement modéré et la forte salinité en zone côtière nécessitent une prudence accrue.;[7] - Le climat océanique doux et l'humidité bien présente du Morbihan conviennent au cryptanthus, mais l'ensoleillement modéré et la forte salinité en zone côtière nécessitent une prudence accrue.
cuphea;cuphea est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle doit être arrosée fréquemment. Elle pousse rapidement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante annuelle.;6;La cuphea peut être cultivée en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais la forte salinité côtière et l'ensoleillement modéré peuvent poser des défis.;[6] - La cuphea peut être cultivée en extérieur dans le Morbihan grâce au climat océanique doux et l'humidité bien présente, mais la forte salinité côtière et l'ensoleillement modéré peuvent poser des défis.
cyclamen;cyclamen est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;Le cyclame peut s'adapter au climat océanique doux du Morbihan grâce à l'humidité présente et aux précipitations régulières, mais il pourrait souffrir de la salinité côtière.;[6] - Le cyclame peut s'adapter au climat océanique doux du Morbihan grâce à l'humidité présente et aux précipitations régulières, mais il pourrait souffrir de la salinité côtière.
cymbalaria;cymbalaria est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;7;Cette plante est bien adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais son intolerance à la sécheresse et la salinité côtière peuvent poser des défis.;[7] - Cette plante est bien adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais son intolerance à la sécheresse et la salinité côtière peuvent poser des défis.
delta maidenhair fern;delta maidenhair fern est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante vivace.;6;La delta maidenhair fern peut s'adapter au climat océanique du Morbihan grâce à son tolerance à la sécheresse et ses besoins modérés en arrosage, mais sa faible tolérance au sel pose un risque dans les zones côtières salines.;[6] - La delta maidenhair fern peut s'adapter au climat océanique du Morbihan grâce à son tolerance à la sécheresse et ses besoins modérés en arrosage, mais sa faible tolérance au sel pose un risque dans les zones côtières salines.
"desert rose,""desert rose est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle nécessite peu d’arrosage. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.""";;6;La desert rose tolère bien la sécheresse et la salinité, mais le climat océanique du Morbihan, avec son humidité élevée et ensoleillement modéré, n'est pas idéal pour une plante qui préfère des conditions arides et ensoleillées.;6 - La desert rose tolère bien la sécheresse et la salinité, mais le climat océanique du Morbihan, avec son humidité élevée et ensoleillement modéré, n'est pas idéal pour une plante qui préfère des conditions arides et ensoleillées.
dracaena;dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante herbacée vivace.;7;La dracaena peut s'adapter au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse, mais elle pourrait souffrir de la salinité en zone côtière.;[7] - La dracaena peut s'adapter au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse, mais elle pourrait souffrir de la salinité en zone côtière.
dragontree;dragontree est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;8;La dragontree s'adapte bien au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse et sa capacité à supporter des environnements légèrement salins, mais l'humidité élevée peut nécessiter un arrosage modéré.;8 - La dragontree s'adapte bien au climat océanique doux du Morbihan grâce à son tolerance à la sécheresse et sa capacité à supporter des environnements légèrement salins, mais l'humidité élevée peut nécessiter un arrosage modéré.
dumb cane;dumb cane est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une lumière filtrée ou tamisée. Elle a besoin d’un arrosage modéré. Elle pousse modérément. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante herbacée vivace.;5;Cette plante tropicale ne tolère pas bien la sécheresse et est peu tolérante au sel, ce qui peut poser problème dans certaines zones côtières du Morbihan. Cependant, le climat océanique doux et l'humidité présente rendent la culture possible avec des précautions.;[5] - Cette plante tropicale ne tolère pas bien la sécheresse et est peu tolérante au sel, ce qui peut poser problème dans certaines zones côtières du Morbihan. Cependant, le climat océanique doux et l'humidité présente rendent la culture possible avec des précautions.
elephant's ear;elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;L'elephant's ear préfère un climat tropical humide mais peut tolérer le climat océanique doux du Morbihan, grâce à une humidité bien présente et des précipitations régulières. Cependant, la forte salinité côtière et l'ensoleillement modéré peuvent poser des défis.;7 - L'elephant's ear préfère un climat tropical humide mais peut tolérer le climat océanique doux du Morbihan, grâce à une humidité bien présente et des précipitations régulières. Cependant, la forte salinité côtière et l'ensoleillement modéré peuvent poser des défis.
fiddle-leaf fig;fiddle-leaf fig est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;5;Cette plante est inadaptée aux conditions extérieures du Morbihan en raison de sa faible tolérance au sel et de son origine tropicale, malgré un climat océanique doux et une humidité favorable.;[5] - Cette plante est inadaptée aux conditions extérieures du Morbihan en raison de sa faible tolérance au sel et de son origine tropicale, malgré un climat océanique doux et une humidité favorable.
fig;fig est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;7;La fig est adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais la forte salinité côtière et la tolérance limitée au sel peuvent poser des problèmes.;[7] - La fig est adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais la forte salinité côtière et la tolérance limitée au sel peuvent poser des problèmes.
firecracker flower;firecracker flower est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle ne tolère pas bien la sécheresse. Elle peut survivre dans des environnements légèrement salins. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.;6;La firecracker flower s'adapte bien au climat océanique doux du Morbihan grâce à une humidité favorable et des précipitations régulières, mais elle peut être sensible à la salinité côtière.;6 - La firecracker flower s'adapte bien au climat océanique doux du Morbihan grâce à une humidité favorable et des précipitations régulières, mais elle peut être sensible à la salinité côtière.
"flame violet,""flame violet est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Elle est plutôt exigeante. C’est une plante herbacée vivace.""";;6;Cette plante est modérément adaptée au climat océanique doux du Morbihan grâce à son tolérance à la sécheresse, mais sa faible tolérance au sel et ses besoins exigeants en arrosage modéré peuvent poser des défis, surtout en zone côtière.;[6] - Cette plante est modérément adaptée au climat océanique doux du Morbihan grâce à son tolérance à la sécheresse, mais sa faible tolérance au sel et ses besoins exigeants en arrosage modéré peuvent poser des défis, surtout en zone côtière.
flowering-maple;flowering-maple est une plante d'intérieur tempérée idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle préfère une exposition en plein soleil. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle nécessite un entretien modéré. Son entretien est facile. C’est une plante vivace.;6;Ce flowering-maple peut s'adapter au climat océanique doux du Morbihan, mais la forte salinité côtière et l'humidité élevée peuvent poser des problèmes.;[6] - Ce flowering-maple peut s'adapter au climat océanique doux du Morbihan, mais la forte salinité côtière et l'humidité élevée peuvent poser des problèmes.
fragrant dracaena;fragrant dracaena est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle ne présente pas d'épines. Elle n'est pas considérée comme envahissante. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse lentement. Elle demande une attention régulière. Son entretien est facile. C’est une plante vivace.;6;La fragrant dracaena est adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais la forte salinité côtière et le modéré ensoleillement peuvent poser des défis.;6 - La fragrant dracaena est adaptée au climat océanique doux du Morbihan grâce à l'humidité présente et les précipitations régulières, mais la forte salinité côtière et le modéré ensoleillement peuvent poser des défis.
"giant elephant's ear,""giant elephant's ear est une plante d'intérieur tropicale idéale pour divers environnements. Elle produit des fleurs décoratives. Elle tolère bien la sécheresse. Elle est peu tolérante au sel. Elle possède des épines, ce qui nécessite de la prudence. Elle peut devenir envahissante si elle n'est pas contrôlée. Elle peut s’adapter à différents niveaux de lumière. Elle a besoin d’un arrosage modéré. Elle pousse rapidement. Elle demande une attention régulière. Elle requiert un suivi plus rigoureux. C’est une plante vivace.""";;6;Le climat océanique doux et l'humidité bien présente du Morbihan conviennent à la giant elephant's ear, mais la forte salinité côtière et les besoins modérés en arrosage de la plante nécessitent une attention particulière.;[6] - Le climat océanique doux et l'humidité bien présente du Morbihan conviennent à la giant elephant's ear, mais la forte salinité côtière et les besoins modérés en arrosage de la plante nécessitent une attention particulière.
